1,8954,1975,6979,77.94%
2,17909,3956,13953,77.91%
3,26864,5930,20934,77.93%
4,35818,7888,27930,77.98%
5,44772,9925,34847,77.83%
6,53724,11830,41894,77.98%
7,62678,13844,48834,77.91%
8,71634,15819,55815,77.92%
9,80588,17789,62799,77.93%
10,89542,18905,70637,78.89%
11,98495,21875,76620,77.79%
12,107451,23589,83862,78.05%
13,116407,25453,90954,78.13%
14,125358,27407,97951,78.14%
15,134316,28659,105657,78.66%
16,143267,31298,111969,78.15%
17,152221,32966,119255,78.34%
18,161176,35294,125882,78.10%
19,170133,36118,134015,78.77%
20,179082,38133,140949,78.71%
21,188038,40078,147960,78.69%
22,196993,41263,155730,79.05%
23,205946,44566,161380,78.36%
24,214903,45982,168921,78.60%
25,223855,47656,176199,78.71%
26,232809,49712,183097,78.65%
27,241765,49675,192090,79.45%
28,250721,49786,200935,80.14%
29,259676,53469,206207,79.41%
30,268625,52446,216179,80.48%
31,277580,54082,223498,80.52%
32,286534,55207,231327,80.73%
33,295489,57502,237987,80.54%
34,304443,57898,246545,80.98%
35,313396,60351,253045,80.74%
36,322354,59829,262525,81.44%
37,331305,62700,268605,81.07%
38,340263,64184,276079,81.14%
39,349213,62868,286345,82.00%
40,358173,64515,293658,81.99%
